prompt,model_a,model_b,acc_a,acc_b,b01,b10,odds_ratio,mcnemar_stat,p_value,significant_p05,n_matched,p_holm,significant_holm
baseline,claude-sonnet,deepseek-r1,0.8703,0.6509,137,438,0.313,156.5217,0.0,True,1372,0.0,True
baseline,claude-sonnet,gpt-4o,0.8703,0.7442,145,318,0.456,63.8963,0.0,True,1372,0.0,True
baseline,claude-sonnet,llama-3.3-70b,0.8703,0.5714,131,541,0.242,248.9301,0.0,True,1372,0.0,True
baseline,deepseek-r1,gpt-4o,0.6509,0.7442,342,214,1.598,29.009,0.0,True,1372,0.0,True
baseline,gpt-4o,llama-3.3-70b,0.7442,0.5714,96,333,0.288,129.8275,0.0,True,1372,0.0,True
baseline,deepseek-r1,llama-3.3-70b,0.6509,0.5714,345,454,0.76,14.5982,0.0001,True,1372,0.0002,True
choices,claude-sonnet,deepseek-r1,0.9125,0.4606,68,688,0.099,506.8267,0.0,True,1372,0.0,True
choices,claude-sonnet,gpt-4o,0.9125,0.7493,84,308,0.273,126.8597,0.0,True,1372,0.0,True
choices,claude-sonnet,llama-3.3-70b,0.9125,0.5153,8,553,0.014,527.5152,0.0,True,1372,0.0,True
choices,deepseek-r1,gpt-4o,0.4606,0.7493,511,115,4.443,249.2412,0.0,True,1372,0.0,True
choices,gpt-4o,llama-3.3-70b,0.7493,0.5153,83,404,0.205,210.2669,0.0,True,1372,0.0,True
choices,deepseek-r1,llama-3.3-70b,0.4606,0.5153,333,258,1.291,9.2657,0.0023,True,1372,0.0023,True
cot,claude-sonnet,deepseek-r1,0.7383,0.6276,204,356,0.573,40.7161,0.0,True,1372,0.0,True
cot,claude-sonnet,gpt-4o,0.7383,0.2427,121,801,0.151,500.0445,0.0,True,1372,0.0,True
cot,claude-sonnet,llama-3.3-70b,0.7383,0.449,159,556,0.286,219.3231,0.0,True,1372,0.0,True
cot,deepseek-r1,gpt-4o,0.6276,0.2427,37,565,0.065,461.3439,0.0,True,1372,0.0,True
cot,deepseek-r1,llama-3.3-70b,0.6276,0.449,85,330,0.258,143.4602,0.0,True,1372,0.0,True
cot,gpt-4o,llama-3.3-70b,0.2427,0.449,372,89,4.18,172.5033,0.0,True,1372,0.0,True
