model,prompt,overall,parseable_rate,cipher_caesar,cipher_atbash,cipher_vigenere,cipher_rot13,cipher_rail_fence,cipher_reverse,cipher_base64,cipher_morse,cipher_bacon,substitution,transposition,encoding
claude-sonnet,baseline,0.8702623906705539,0.9161807580174927,0.891156462585034,0.9387755102040817,0.9183673469387755,1.0,0.9489795918367347,0.8979591836734694,0.8469387755102041,0.17346938775510204,1.0,0.9209183673469388,0.9319727891156463,0.673469387755102
claude-sonnet,choices,0.9125364431486881,0.9919825072886297,0.7040816326530612,0.9489795918367347,0.9251700680272109,1.0,0.9744897959183674,1.0,1.0,0.9897959183673469,1.0,0.8545918367346939,0.9829931972789115,0.9965986394557823
claude-sonnet,cot,0.7383381924198251,0.8600583090379009,0.9115646258503401,0.6836734693877551,0.6836734693877551,0.40816326530612246,0.8928571428571429,0.8673469387755102,0.7857142857142857,0.10204081632653061,0.9183673469387755,0.7346938775510204,0.8843537414965986,0.6020408163265306
claude-sonnet,expert,1.0,1.0,1.0,,,,,,,,,1.0,,
deepseek-r1,baseline,0.6508746355685131,0.9715743440233237,0.8333333333333334,0.6632653061224489,0.10204081632653061,0.3877551020408163,0.6887755102040817,0.9081632653061225,1.0,1.0,0.9693877551020408,0.48214285714285715,0.7619047619047619,0.9897959183673469
deepseek-r1,choices,0.4606413994169096,0.9978134110787172,0.6564625850340136,0.3979591836734694,0.03741496598639456,0.3673469387755102,0.336734693877551,0.7040816326530612,0.6428571428571429,0.9183673469387755,0.6632653061224489,0.35586734693877553,0.45918367346938777,0.7414965986394558
deepseek-r1,cot,0.6275510204081632,0.9358600583090378,0.8673469387755102,0.5714285714285714,0.12244897959183673,0.23469387755102042,0.6224489795918368,0.9795918367346939,0.9489795918367347,1.0,0.8367346938775511,0.4719387755102041,0.7414965986394558,0.9285714285714286
gpt-4o,baseline,0.7441690962099126,0.9132653061224489,0.6496598639455783,0.9183673469387755,0.8639455782312925,0.9489795918367347,0.24489795918367346,0.5306122448979592,1.0,0.9897959183673469,1.0,0.8010204081632653,0.3401360544217687,0.9965986394557823
gpt-4o,choices,0.749271137026239,0.85932944606414,0.6802721088435374,1.0,0.8163265306122449,1.0,0.0,1.0,1.0,1.0,1.0,0.8112244897959183,0.3333333333333333,1.0
gpt-4o,cot,0.24271137026239067,0.282798833819242,0.19727891156462585,0.05102040816326531,0.006802721088435374,0.14285714285714285,0.0,0.4387755102040816,0.6530612244897959,0.9591836734693877,0.5408163265306123,0.10076530612244898,0.14625850340136054,0.717687074829932
gpt-4o,expert,0.2070063694267516,0.2515923566878981,0.15942028985507245,0.43478260869565216,0.0,0.2727272727272727,0.0,0.18181818181818182,0.7272727272727273,0.6818181818181818,0.13636363636363635,0.14835164835164835,0.06060606060606061,0.5151515151515151
llama-3.3-70b,baseline,0.5714285714285714,0.9300291545189504,0.09863945578231292,0.7142857142857143,0.9829931972789115,1.0,0.03571428571428571,0.9693877551020408,1.0,1.0,0.0,0.6198979591836735,0.3469387755102041,0.6666666666666666
llama-3.3-70b,choices,0.5153061224489796,1.0,0.0,0.5612244897959183,0.29931972789115646,1.0,0.37755102040816324,1.0,1.0,1.0,1.0,0.30739795918367346,0.5850340136054422,1.0
llama-3.3-70b,cot,0.4489795918367347,0.9701166180758017,0.9251700680272109,0.01020408163265306,0.027210884353741496,0.19387755102040816,0.2602040816326531,0.8877551020408163,0.7653061224489796,0.9795918367346939,0.07142857142857142,0.3826530612244898,0.46938775510204084,0.6054421768707483
