Model,Prompt,Overall,Substitution,Transposition,Encoding
claude-sonnet,baseline,87.0,92.1,93.2,67.3
claude-sonnet,choices,91.3,85.5,98.3,99.7
claude-sonnet,cot,73.8,73.5,88.4,60.2
deepseek-r1,baseline,65.1,48.2,76.2,99.0
deepseek-r1,choices,46.1,35.6,45.9,74.1
deepseek-r1,cot,62.8,47.2,74.1,92.9
gpt-4o,baseline,74.4,80.1,34.0,99.7
gpt-4o,choices,74.9,81.1,33.3,100.0
gpt-4o,cot,24.3,10.1,14.6,71.8
llama-3.3-70b,baseline,57.1,62.0,34.7,66.7
llama-3.3-70b,choices,51.5,30.7,58.5,100.0
llama-3.3-70b,cot,44.9,38.3,46.9,60.5
